"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2011 found at http://www.cdc.gov/mmwr/pdf/ss/ss6311.pdf",,State of Maternal Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida**,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire**,New Jersey,New Mexico,New York (City and State),North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown residence,Total by location of service
State of Clinical Service,Alabama,"7,989",0,--,0,--,--,0,0,0,73,55,0,0,--,--,--,0,--,--,0,0,0,--,0,"1,238",--,0,0,0,0,--,0,--,--,0,--,--,0,0,0,0,0,114,--,0,0,--,--,0,0,0,0,0,0,--,0,0,"9,523"
,Alaska,0,"1,593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,"1,627"
,Arizona,--,--,"13,606",0,--,--,--,0,0,--,0,0,0,--,--,0,0,--,0,--,--,0,--,0,0,0,0,--,--,0,0,--,--,0,0,0,--,--,0,0,0,0,0,--,--,0,0,--,0,0,0,0,0,0,73,0,660,"14,401"
,Arkansas,0,--,--,"3,523",--,--,0,0,0,--,--,0,0,--,0,--,--,0,--,0,--,0,0,0,87,110,0,--,--,0,0,0,0,0,0,0,75,0,0,0,0,0,174,--,0,0,0,0,0,0,0,0,0,0,0,--,0,"4,033"
,California**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, -- 
,Colorado,0,--,0,--,--,"9,232",--,0,0,--,--,0,--,--,--,--,58,0,--,--,0,--,--,--,--,--,--,103,--,--,--,149,--,--,0,--,--,--,--,--,0,84,--,--,--,--,--,--,0,--,460,0,66,--,0,0,66,"10,474"
,Connecticut,0,0,0,0,0,0,"12,243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,"12,615"
,Delaware,0,0,0,0,0,0,--,"3,133",--,--,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,--,0,0,81,0,--,0,0,0,0,0,273,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,"3,794"
,District of Columbia,0,0,0,0,--,--,--,--,"1,279",--,--,0,0,--,0,0,0,0,0,0,736,--,0,--,0,--,0,0,0,0,--,0,--,--,0,--,0,0,--,0,--,0,0,--,0,0,686,--,--,0,0,0,0,0,--,0,--,"2,768"
,Florida**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"77,166","77,166"
