"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2014 found at https://www.cdc.gov/mmwr/volumes/66/ss/ss6624a1.htm?s_cid=ss6624a1_w",,State of Maternal Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,State,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida**,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire**,New Jersey,New Mexico,New York     (city and state),North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-state (exact residence unknown),Unknown                     residence,Total by location of service
State of Clinical Service,Alabama,"6,650",0,0,--,0,--,0,0,0,100,--,0,0,--,0,0,0,--,--,0,--,-- ,0,0,"1,172",0,0,0,--,0,--,0,--,--,0,--,--,--,--,0,--,0,66,--,0,0,--,0,0,--,--,0,0,0,0,0,0,"8,080"
,Alaska,0,"1,480",0,0,--,--,0,0,0,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,--,0,0,--,--,0,0,--,0,0,0,0,0,0,--,0,--,"1,518"
,Arizona,0,0,"12,747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,"12,900"
,Arkansas,0,0,0,"3,307",0,--,0,0,0,--,0,0,--,0,0,0,--,0,--,0,--,0,0,0,217,59,0,0,0,0,--,0,0,--,0,0,--,--,0,0,0,0,543,--,--,0,--,--,0,0,0,0,0,0,0,--,0,"4,253"
,California**,--,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-- ,--,--,--,--,--, -- 
,Colorado,--,--,--,--,--,"9,417",--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,-- ,--,-- ,81,--,0,--,147,--,--,--,--,--,0,--,--,--,99,--,--,--,0,--,--,0,--,457,0,--,--,0,0,--,"10,648"
,Connecticut,0,0,0,0,0,0,"10,333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,"10,611"
,Delaware,0,0,0,0,0,0,0,"2,468",--,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,--,0,0,0,0,0,--,0,--,0,0,--,0,0,204,--,--,0,0,--,0,0,--,0,--,0,0,-- ,0,0,--,0,0,"2,937"
,District of Columbia,--,0,--,0,--,0,--,--,"1,238",--,--,0,0,0,--,0,0,0,0,0,772,0,--,--,0,0,0,0,--,--,--,0,--,--,0,--,0,0,--,0,--,0,0,--,0,0,733,0,--,0,0,0,0,0,0,0,0,"2,790"
,Florida**,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,"72,107","72,107"
